Episode: 240, Total reward:-21.0, Explore P: 0.7300723495354129, loss: 96.19536
Episode: 241, Total reward:-20.0, Explore P: 0.7281868306912959, loss: 0.11838736
Episode: 242, Total reward:-19.0, Explore P: 0.7262994700207448, loss: 25.714252
Episode: 243, Total reward:-19.0, Explore P: 0.7244083199875168, loss: 78.807236
Episode: 244, Total reward:-21.0, Explore P: 0.7225146507008428, loss: 1.0601853
Episode: 245, Total reward:-20.0, Explore P: 0.7206195065775622, loss: 2.2079856
Episode: 246, Total reward:-20.0, Explore P: 0.7187227566916462, loss: 0.09522805
Episode: 247, Total reward:-19.0, Explore P: 0.7168237355838603, loss: 14.165372
Episode: 248, Total reward:-19.0, Explore P: 0.714922462931656, loss: 114.843765
Episode: 249, Total reward:-20.0, Explore P: 0.7130169726038673, loss: 3.7147484
Episode: 250, Total reward:-20.0, Explore P: 0.7111090207724443, loss: 16.120968
Episode: 251, Total reward:-19.0, Explore P: 0.7091996480672744, loss: 31.330769
Episode: 252, Total reward:-20.0, Explore P: 0.7072882612599932, loss: 74.16274
Episode: 253, Total reward:-20.0, Explore P: 0.7053758309388507, loss: 3.4821873
Episode: 254, Total reward:-21.0, Explore P: 0.703461958240824, loss: 2.5396318
Episode: 255, Total reward:-21.0, Explore P: 0.7015472905315276, loss: 9.294298
Episode: 256, Total reward:-21.0, Explore P: 0.6996316639707163, loss: 3.174671
Episode: 257, Total reward:-21.0, Explore P: 0.697716088802759, loss: 5.879331
Episode: 258, Total reward:-21.0, Explore P: 0.6957999243602925, loss: 5.093235
Episode: 259, Total reward:-18.0, Explore P: 0.6938835957004108, loss: 61.620045
Episode: 260, Total reward:-21.0, Explore P: 0.6919653207324533, loss: 1.7699337
Episode: 261, Total reward:-20.0, Explore P: 0.6900458898750339, loss: 0.9973353
Episode: 262, Total reward:-20.0, Explore P: 0.688125160549129, loss: 5.1329865
Episode: 263, Total reward:-21.0, Explore P: 0.6862025646584656, loss: 0.9532119
Episode: 264, Total reward:-20.0, Explore P: 0.6842800194808893, loss: 41.690956
Episode: 265, Total reward:-21.0, Explore P: 0.6823564476842433, loss: 0.14786808
